"","Team","Season","winrate"
"1","EDward Gaming",2016,71.4
"2","Energy Pacemaker.All",2016,35.9
"3","Hyper Youth Gaming",2016,9.1
"4","Invictus Gaming",2016,51.3
"5","LGD Gaming",2016,50
"6","Masters 3",2016,25
"7","Oh My God",2016,46.2
"8","Qiao Gu Reapers",2016,64.9
"9","Royal Never Give Up",2016,73.7
"10","Snake Esports",2016,56.1
"11","Team WE",2016,59
"12","Vici Gaming",2016,52.5
"13","EDward Gaming",2016.5,86.5
"14","Game Talents",2016.5,43.2
"15","I May",2016.5,56.8
"16","Invictus Gaming",2016.5,39
"17","LGD Gaming",2016.5,47.4
"18","Newbee",2016.5,33.3
"19","Oh My God",2016.5,33.3
"20","Royal Never Give Up",2016.5,72.5
"21","Saint Gaming",2016.5,23.1
"22","Snake Esports",2016.5,55.3
"23","Team WE",2016.5,57.1
"24","Vici Gaming",2016.5,54.1
"25","EDward Gaming",2017,65
"26","Game Talents",2017,28.9
"27","I May",2017,46.2
"28","Invictus Gaming",2017,53.8
"29","LGD Gaming",2017,36.8
"30","Newbee",2017,42.9
"31","Oh My God",2017,54.1
"32","QG Reapers",2017,57.9
"33","Royal Never Give Up",2017,66.7
"34","Snake Esports",2017,44.7
"35","Team WE",2017,67.6
"36","Vici Gaming",2017,35.1
"37","DAN Gaming",2017.5,36.8
"38","EDward Gaming",2017.5,68.6
"39","I May",2017.5,34.2
"40","Invictus Gaming",2017.5,56.4
"41","JD Gaming",2017.5,42.1
"42","LGD Gaming",2017.5,41
"43","Newbee",2017.5,52.5
"44","Oh My God",2017.5,59
"45","Royal Never Give Up",2017.5,68.4
"46","Snake Esports",2017.5,36.6
"47","Suning",2017.5,43.9
"48","Team WE",2017.5,62.5
"49","Bilibili Gaming",2018,35.4
"50","EDward Gaming",2018,58.7
"51","FunPlus Phoenix",2018,43.5
"52","Invictus Gaming",2018,69.4
"53","JD Gaming",2018,60
"54","LGD Gaming",2018,45.5
"55","Oh My God",2018,28.3
"56","Rogue Warriors",2018,69.6
"57","Royal Never Give Up",2018,60.9
"58","Snake Esports",2018,42.6
"59","Suning",2018,55.3
"60","Team WE",2018,37.5
"61","Topsports Gaming",2018,46.8
"62","Vici Gaming",2018,21.7
"63","Bilibili Gaming",2018.5,54.1
"64","EDward Gaming",2018.5,58.3
"65","FunPlus Phoenix",2018.5,73.7
"66","Invictus Gaming",2018.5,68.6
"67","JD Gaming",2018.5,51.3
"68","LGD Gaming",2018.5,39.5
"69","Oh My God",2018.5,30.6
"70","Rogue Warriors",2018.5,27.3
"71","Royal Never Give Up",2018.5,60
"72","SinoDragon Gaming",2018.5,54.3
"73","Snake Esports",2018.5,31.6
"74","Suning",2018.5,43.2
"75","Team WE",2018.5,57.1
"76","Topsports Gaming",2018.5,66.7
